,codigo,titulo,sinopse,diretor,ano,tema,plays
0,148,Amarelo manga,"Guiados pela paixão, os personagens de Amarelo Manga vão penetrando num universo feito de armadilhas e vinganças, de desejos irrealizáveis, da busca incessante da felicidade. O universo aqui é o da vida-satélite e dos tipos que giram em torno de órbitas próprias, colorindo a vida de um amarelo hepático e pulsante. Não o amarelo do ouro, do brilho e das riquezas, mas o amarelo do embaçamento do dia-a-dia e do envelhecimento das coisas postas. Um amarelo-manga, farto.",Cláudio Assis,2003,,5289
1,149,A canga,"Num descampado, no meio de uma lavoura seca, um velho agricultor obriga os filhos a colocar, nos ombros, uma canga de boi. A esposa e a nora também são forçadas a ajudar no trabalho. Fora de si, o velho perde o controle da situação e a família reage provocando um desfecho inusitado.",Marcus Vilar,2000,Trabalho,69946
2,150,"Batismo de Carmencita, 25 de junho de 1921","Um dos assuntos de um cinejornal. Cerimônia de batismo do bebê Carmencita - futura sra. Julien: padre, familiares, padrinhos e amigos na igreja e na residência dos pais.",Autoria desconhecida,1921,Missa,47930
3,151,Exemplo regenerador,"Um marido farrista deixa a esposa só em casa no dia do aniversário de casamento. O criado, condoído com a triteza da esposa, imagina um plano para ajudá-la a reconquistar o marido. Filmagens na Avenida Paulista, em frente ao Trianon e Parque Siqueira Campos.",José Medina,1919,Não Disponível,82442
4,152,Brasilianas: Aboio e Cantigas,O Canto utilizado pelo vaqueiro para reunir a boiada. Filmado em Volta Redonda (MG),Humberto Mauro,1954,Folclore,78422
5,153,"Brasilianas: Canções Populares - ""Chuá Chuá..."" e ""Casinha Pequenina""","Aspectos da natureza inspirados nas anções populares ""Chuá... Chuá..."" e ""A Casinha Pequenina""",Humberto Mauro,1945,Folclore,87768
6,154,Alma carioca - Um choro de menino,"História de um menino que vive na zona portuária do Rio de Janeiro na década de 20 e testemunha o surgimento do Choro, quando encontra os grandes mestres pioneiros desse estilo puramente carioca.",William Côgo,2002,"Música, chorinho, choro, Rio de Janeiro, Lapa",61608
7,155,"Brasilianas: Canções Populares - ""Azulão"" e ""O Pinhal""","Interpretação cinematográfica das canções populares 'Azulão' e 'O Pinhal'""",Humberto Mauro,1948,Música Popular,26205
8,156,Cafuné,"Ambientado no Rio de Janeiro, Cafuné conta a história do amor entre dois jovens de diferentes classes sociais. marquinhos, morador da Favela da Rocinha, conhece Débora, uma jovem da classe média alta. Quando a relação se torna séria, os dois se deparam com a vida adulta e precisam enfrentar todo o tipo de dificuldades para continuarem juntos.",Bruno Vianna,2006,,55541
9,157,Disfarce explosivo,"Juca Piau cria galinhas em seu pequeno sítio para vender na vila próxima. Um dia, duas delas se recusam ser vendidas usando vários disfarces para enganar Juca Piau.",Mário Galindo,2000,Não Disponível,73433
10,158,Brasilianas: Cantos de Trabalho - Música Folclórica Brasileira,"O ritmo de músicas inspiradas nas atividades do trabalho; apresentação do canto do pilão, do barqueiro e da pedra.",Humberto Mauro,1955,Folclore,82898
11,159,Mina de fé,A vida de uma jovem pode ser realmente difícil quando seu amor é o chefe do tráfico. Assim é Silvana,Luciana Bezerra,2003,"Amor, Juventude, Trafico de Drogas, Crime, Favela, violência",50677
12,160,Brasilianas: Engenhos e Usinas - Música Folclórica Brasileira,"O abandono dos primitivos engenhos, superados pela tecnologia das modernas usinas.",Humberto Mauro,1955,Música,34772
13,161,Bete Balanço,"Bete é uma garota de Governador Valadares, recém aprovada no vestibular e cantora eventual do bar da cidade. Liberada na relação sexual com o namorado, curte teatro e sonha com um espaço maior para o seu prazer, na batalha do trabalho e da vida. A música atrai Bete para o Rio de Janeiro, pouco antes de completar 18 anos. Tudo o que experimenta, então, é uma inevitável sucessão de coisas boas e más. ",Lael Rodrigues,1984,Música Popular,72332
14,162,Brasilianas: Manhã na Roça - Carro de Bois,"Um carro de boi ainda faz parte das paisagens do nosso sertão, numa mistura de utilidade e poesia.",Humberto Mauro,1956,Fazenda,4208
15,163,Brasilianas: Meus Oito Anos - Canto Escolar,Interpretação cinematográficado poema homônimo de Casimiro de Abreu,Humberto Mauro,1956,Literatura,77707
16,164,O chamado de Deus,"Vencedor dos prêmios de Melhor Documentário e Melhor Montagem no Festival de Brasília, O chamado de Deus conta a estória de seis jovens que se decidiram pela vida religiosa. Três deles seminaristas da Igreja Católica, os demais atuando mais próximos à Teologia da Libertação, pregando que é preciso se inserir na realidade dos fiéis para ajudar a concretizar seus anseios e ideais.",José Joffily,2000,"Religião, Vocação, Deus",20187
17,165,Estorvo,"Baseado no livro homônimo de Chico Buarque, com adaptação, roteiro e direção de Ruy Guerra, ESTORVO reproduz o pesadelo existencialista de um personagem anônimo que vaga por uma grande cidade contempoânea.Depois de uma noite mal dormida, o protagonista acorda com a campainha da porta tocando insistentemente. Pelo olho mágico, vê um desconhecido de terno e gravata, barba e cabelos longos, que lhe lembra alguém que não consegue identificar. Não sabe porque aquele homem está ali nem o que pode querer, mas tem uma certeza imediata: ele representa uma ameaça para sua vida.E assim se inicia uma alucinante perseguição através da cidade.",Ruy Guerra,1998,"Literatura; Adaptação para cinema, Chico Bruaque",6652
18,166,Samba Riachão,"Aos 80 anos de idade, Riachão é o cronista musical da cidade de Salvador, tendo vivenciado todas as transformações pelas quais passou a música popular brasileira e os meios de comunicação no decorrer do século XX. É através das histórias deste cronista que o filme apresenta um relato histórico da MPB.",Jorge Alfredo,2001,"Samba, Samba de roda, Samba da Bahia, Musica",38524
19,449,Dedicatórias,"Uma jovem viuva que coleciona dedicatórias amorosas.Uma história de livros, traições, coincidências e amores.",Eduardo Vaisman,1997,,76012
20,450,A vingança da bibliotecária,"Jamais perturbe o silêncio de uma biblioteca, ou despertará a fúria da Bibliotecária decrépita. Filmofagia de signos do imaginário terrorífico universal.",Santiago Dellape,2005,,54219
21,451,O livro,Um livro passa pelas mãos de quatro personagens que aparentemente não possuem nenhuma relação entre si.,Aleques Eiterer,1999,,42510
22,167,Acossada,Francesinha perdida no Rio de Janeiro depara-se com mafiosos do cinema nacional. Quem poderá salvá-la?,Karen Akerman e Karen Black,2005,,27864
23,168,O Catedrático do samba,"Perfil do cantor e compositor paulistano Germano Mathias, traçado em estilo solto e malandro como o do sambista.",Alessandro Gamo e Noel Carvalho,1999,,86013
